Sample,Cont_T,Type_L,Cont_1,Type_3,PSU2,PSU3,PSU4,PSU5,PSU8,PSE1,PSE2,PSE3,PSE4,PSE7,RCB2,RCB3,RCB4,RCB5,RCB7,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Trust,Discrm,AI_Kno,AI_Dist,MPSU,MPSE,MRCB,Cont,trace,interact
52,1,2,1,2,5,7,6,6,5,3,2,2,4,3,3,5,4,5,3,女,18-24岁,本科,2小时以上,2,2,3,4,5,6,5,3,5.8,2.8,4,0,0,0
53,1,2,2,2,6,7,6,7,5,3,4,5,6,7,4,5,4,4,3,女,18-24岁,本科,1-2小时,2,2,3,3,5,3,5,4,6.2,5,4,0,0,0
54,2,2,5,3,2,4,3,4,3,5,5,5,5,5,6,6,6,7,6,男,18-24岁,本科,2小时以上,1,2,3,4,4,6,6,5,3.2,5,6.2,1,0,0
55,2,1,7,7,1,1,1,1,1,4,5,6,5,6,7,7,6,6,7,女,18-24岁,本科,2小时以上,2,2,3,4,4,5,5,6,1,5.2,6.6,1,1,1
56,1,2,1,3,5,6,4,5,6,2,2,2,2,5,2,3,7,5,4,女,18-24岁,本科,1-2小时,2,2,3,3,5,5,5,4,5.2,2.6,4.2,0,0,0
57,2,2,7,1,2,7,6,1,1,2,1,2,1,2,6,7,1,2,1,女,18-24岁,本科,2小时以上,2,2,3,4,6,7,5,6,3.4,1.6,3.4,1,0,0
58,2,1,6,6,2,3,3,2,3,5,6,6,5,5,6,6,5,6,5,女,18-24岁,本科,30-60分钟,2,2,3,2,4,5,5,6,2.6,5.4,5.6,1,1,1
59,1,2,1,2,7,7,7,5,7,4,5,4,6,7,2,1,3,4,5,女,18-24岁,本科,1-2小时,2,2,3,3,5,4,3,3,6.6,5.2,3,0,0,0
60,2,1,5,7,2,2,1,2,1,5,6,6,6,6,6,6,6,5,7,男,18-24岁,大专,2小时以上,1,2,2,4,5,4,5,5,1.6,5.8,6,1,1,1
61,2,2,7,2,6,7,6,7,6,4,6,6,6,6,6,6,6,7,4,男,18-24岁,本科,2小时以上,1,2,3,4,5,4,5,4,6.4,5.6,5.8,1,0,0
62,1,2,2,1,4,6,5,5,6,2,3,3,4,3,5,6,4,5,4,女,18-24岁,本科,1-2小时,2,2,3,3,5,6,5,5,5.2,3,4.8,0,0,0
63,2,1,7,7,1,2,1,2,1,7,7,6,7,7,7,7,6,7,7,男,18-24岁,本科,30-60分钟,1,2,3,2,4,6,7,6,1.4,6.8,6.8,1,1,1
64,2,1,6,6,5,2,1,2,2,5,5,5,5,6,2,5,7,4,5,女,18-24岁,本科,30-60分钟,2,2,3,2,4,5,5,6,2.4,5.2,4.6,1,1,1
65,1,1,3,7,3,2,2,1,2,6,6,5,6,6,6,5,6,7,5,女,18-24岁,硕士及以上,30-60分钟,2,2,4,2,5,6,6,5,2,5.8,5.8,0,1,0
66,1,2,1,2,7,7,6,4,6,4,4,4,4,4,2,2,3,2,4,女,18-24岁,本科,1-2小时,2,2,3,3,6,4,4,2,6,4,2.6,0,0,0
67,1,1,1,7,4,5,5,5,5,6,6,7,7,7,6,7,6,7,7,男,18-24岁,本科,30-60分钟,1,2,3,2,5,2,4,5,4.8,6.6,6.6,0,1,0
68,2,1,7,7,3,2,1,3,3,5,6,5,5,6,5,6,7,6,7,女,18-24岁,大专,30-60分钟,2,2,2,2,5,5,6,6,2.4,5.4,6.2,1,1,1
69,1,1,1,7,1,3,1,1,1,7,6,7,7,7,6,7,3,6,7,男,18-24岁,硕士及以上,30-60分钟,1,2,4,2,5,6,5,7,1.4,6.8,5.8,0,1,0
70,1,1,1,6,2,3,1,4,1,5,6,5,7,5,6,7,6,6,5,男,18-24岁,本科,2小时以上,1,2,3,4,4,7,6,6,2.2,5.6,6,0,1,0
71,1,1,2,5,2,3,3,2,2,5,6,5,6,6,6,5,5,6,6,女,18-24岁,本科,30-60分钟,2,2,3,2,4,5,6,5,2.4,5.6,5.6,0,1,0
72,1,1,1,4,2,3,3,3,2,3,3,4,6,5,6,6,5,5,6,女,18-24岁,本科,2小时以上,2,2,3,4,4,3,3,2,2.6,4.2,5.6,0,1,0
73,1,1,1,5,2,2,2,3,2,4,5,5,7,7,7,7,7,7,7,男,18-24岁,硕士及以上,30-60分钟,1,2,4,2,4,6,6,5,2.2,5.6,7,0,1,0
74,1,2,1,3,7,7,7,5,7,6,6,4,5,6,2,2,2,2,6,女,18-24岁,本科,30-60分钟,2,2,3,2,6,4,3,3,6.6,5.4,2.8,0,0,0
75,1,1,3,7,2,3,3,4,3,6,4,5,6,6,6,6,6,6,7,女,18-24岁,高中及以下,30分钟以内,2,2,1,1,4,5,4,5,3,5.4,6.2,0,1,0
76,1,2,2,2,6,6,6,6,6,3,2,2,2,6,6,5,5,6,4,女,18-24岁,大专,1-2小时,2,2,2,3,6,5,3,3,6,3,5.2,0,0,0
77,1,2,1,2,7,7,7,7,6,3,5,5,6,7,6,6,7,7,7,女,18-24岁,本科,1-2小时,2,2,3,3,6,7,6,6,6.8,5.2,6.6,0,0,0
